CARI_KOD,CARI_ISIM,ADRES,IL,ILCE,ENLEM,BOYLAM,TIPI
C599,Çamaltý Yayladaðý Hatay,Çamaltý Mh. 01 T. Atmaca SokakN:77N:N:N:N:N:N:77,Hatay,YAYLADAÐI,35.900689,36.064867,Magaza
J184,Yalý Evleri Anamur Mersin,Yalýevleri Mh. 27. Cadde No:172N:N:172N:172N:17N:172,Içel,ANAMUR,36.059646,32.848873,Magaza
C015,Yeni Sahil Anamur Mersin,Saðlýk Mh. 2N:83N:83N:83N:83,Içel,ANAMUR,36.060129,32.848644,Magaza
E928,Tekebaþý Samandað Hatay,Tekebaþý Mh. 144 148. SokakN:144N:144N:,Hatay,SAMANDAÐ,36.063239,35.988918,Magaza
A0423,19 Mayýs Anamur Mersin,Güzelyurt Mh. 22 19 Mayýs Cd.N:N:N:22N:1,Içel,ANAMUR,36.069431,32.836358,Magaza
A8240,Ören Anamur Mersin,Ören Mah. Cumhuriyet Cad.No:10 Z1-Z4  Anamur / MERSÝNN:10N:10N:N:10,Içel,ANAMUR,36.069597,32.836318,Magaza
A6820,Ýskele Anamur Mersin,Yalýevleri Mah Mareþal Fevzi Çakmak Cd No:184 AnamurN:N:N:184N:184N:184,Içel,ANAMUR,36.070863,32.864744,Magaza
H539,Sanayi Anamur Mersin,Bahçelievler Mh. Mersin - Antalya Yolu No:6N:33N:N:33,Içel,ANAMUR,36.071755,32.861703,Magaza
H352,Terminal Anamur Mersin,Yeþilyurt Mh. 3. Cadde No:2N:60N:60N:60N:60,Içel,ANAMUR,36.071932,32.834077,Magaza
A9608,Turgut Reis Anamur Mersin,Ýskele Mh. 1723. Sk.,Içel,ANAMUR,36.073543,32.868346,Magaza
B747,Çukur Abanoz Anamur Mersin,Çukurabanoz Mh. 17 Anamur Ermenek YoluN:N:,Içel,ANAMUR,36.073554,32.868423,Magaza
G251,Akarca Anamur Mersin Anamur Mersin,Sultan Alaaddin Mh. Ahmet Taner Kýþlalý Caddesi (AkdN:69,Içel,ANAMUR,36.074457,32.81877,Magaza
A2768,Kýbrýs Anamur Mersin,Yeþilyurt Mah.Kýbrýs Cad. N:31N:31N:31,Içel,ANAMUR,36.074664,32.834884,Magaza
A6347,Göktaþ Anamur Mersin,Göktaþ Mah.Akdeniz Cad.Seymenler Ap N:77N:77N:77,Içel,ANAMUR,36.079082,32.830313,Magaza
H136,Çarþý Anamur Mersin,Saray Mh. Atatürk Bulvarý No:1N:1N:1N:1,Içel,ANAMUR,36.079087,32.830357,Magaza
G351,Aþýk Veysel Anamur Mersin,Bahçelievler Mh. Aþýk Veysel Caddesi No:15N:15N:1N:15,Içel,ANAMUR,36.079096,32.830277,Magaza
G542,Güleryüz Anamur Mersin,Saray Mh. 615. Sokak No:1AN:2N:2N:2,Içel,ANAMUR,36.079096,32.830364,Magaza
A8239,Ýtfaiye Anamur Mersin,Akdeniz Mah. Dr. Fazýl Küçük Cad. 39. Sokak No:5 28 Nolu dükkan  AN:5,Içel,ANAMUR,36.079154,32.830309,Magaza
B784,Tahsin Soylu Anamur Mersin,Saðlýk Mh. 6N:6,Içel,ANAMUR,36.08057,32.840476,Magaza
J154,Sutaþý Samandað Hatay,Sutaþý Mh. Ahmet Taner Kýþlalý Caddesi No:1N:,Hatay,SAMANDAÐ,36.08091,35.998574,Magaza
I818,Hýzýr Samandað Hatay,Deniz Mh. Mehmet Aslan CaddesiN:286N:286N:286,Hatay,SAMANDAÐ,36.081511,35.947238,Magaza
A6517,Belediye Samandað Hatay,Cumhuriyet Mh.Atatürk Cd. No:43,Hatay,SAMANDAÐ,36.082171,35.983915,Magaza
J935,Askeriye Anamur Mersin,Yalýevleri Mh. Adnan Menderes Caddesi No:1N:1N:1,Içel,ANAMUR,36.082857,32.833427,Magaza
A6484,Samandað Samandað Hatay,Atatürk Mh.Sivas Þehitleri Cd. No:31N:31N:31,Hatay,SAMANDAÐ,36.084452,35.977626,Magaza
F931,Deniz Yolu Samandað Hatay,Deniz Mh. Mehmet Aslan Caddesi No:1N:46/AN:46/A,Hatay,SAMANDAÐ,36.084511,35.964936,Magaza
